Temperature,Luminosity,Infrared,Distance,Label
24.77,63.96,0,242.96,FlashLight
24.77,64.06,0,501.72,FlashLight
24.77,64.06,0,71.52,FlashLight
24.44,63.18,0,566.22,FlashLight
24.12,69.14,0,750.8,FlashLight
23.8,65.62,0,13.86,FlashLight
23.8,66.41,0,290.37,FlashLight
24.77,68.85,0,382.72,FlashLight
24.77,69.14,0,322.63,FlashLight
24.44,67.58,0,666.69,FlashLight
23.8,61.91,0,400,FlashLight
24.12,54.79,0,521.3,FlashLight
23.48,90.33,0,11.61,FlashLight
24.44,100,0,10.78,FlashLight
24.12,100,0,464.7,FlashLight
23.48,83.59,0,1094.32,FlashLight
24.12,79.49,0,1117.08,FlashLight
23.48,84.18,0,369.19,FlashLight
24.77,88.38,0,218.91,FlashLight
23.48,87.6,0,1218.49,FlashLight
23.48,79,0,499.53,FlashLight
23.48,84.67,0,95.86,FlashLight
23.48,87.6,0,343.57,FlashLight
24.77,60.94,0,78.83,FlashLight
23.48,95.31,0,73.24,FlashLight
23.48,92.77,0,73.64,FlashLight
23.48,93.16,0,73.86,FlashLight
23.48,84.77,0,499.49,FlashLight
23.8,88.67,0,825.6,FlashLight
24.77,87.11,0,68.15,FlashLight
24.77,86.23,0,66.11,FlashLight
24.44,84.77,0,66.15,FlashLight
24.77,82.13,0,66.19,FlashLight
24.77,83.3,0,64.68,FlashLight
24.77,81.35,0,73.78,FlashLight
24.44,89.55,0,68.42,FlashLight
24.44,95.61,0,69.64,FlashLight
24.77,94.43,0,68.61,FlashLight
24.77,89.26,0,67.07,FlashLight
24.12,84.77,0,67.14,FlashLight
24.44,83.5,0,68.91,FlashLight
24.44,82.32,0,400,FlashLight
23.48,83.69,0,63.88,FlashLight
24.12,81.54,0,1197.69,FlashLight
24.44,80.27,0,400,FlashLight
24.12,77.05,0,67.24,FlashLight
25.89,25.59,94.63,19.84,Infrared
25.89,34.18,95.51,400,Infrared
25.89,24.9,77.83,400,Infrared
24.14,42.87,0,6.79,FlashLight
24.14,40.82,0,8.79,FlashLight
24.14,50.29,0,8.52,FlashLight
24.14,100,0,7.13,FlashLight
24.14,100,0,7.48,FlashLight
24.14,62.4,0,8.8,FlashLight
24.82,50.49,0,8.84,FlashLight
24.14,50.1,0,9.42,FlashLight
24.63,4.1,0,400,StandBy
24.63,5.37,0,156.23,StandBy
24.63,4,0,154.5,StandBy
24.63,4.2,0,153.65,StandBy
24.63,4.1,0,155.35,StandBy
24.63,4.2,0,154.91,StandBy
24.63,4.1,0,154.51,StandBy
24.63,4.1,0,155.74,StandBy
24.63,4.1,0,153.67,StandBy
24.6,6.05,0,154.49,StandBy
24.63,4.1,0,400,StandBy
24.31,3.91,0,5.13,StandBy
23.63,4.1,0,154.15,StandBy
23.63,4.1,0,154.13,StandBy
23.63,4.1,0,155.38,StandBy
23.63,5.47,0,155.35,StandBy
23.63,4.3,0,154.9,StandBy
23.63,4.3,0,154.92,StandBy
23.63,4.1,0,154.06,StandBy
23.63,4.1,0,156.16,StandBy
64.05,97.46,96,155.75,Lighter
64.05,82.32,95.21,400,Lighter
64.05,66.8,86.72,5.12,Lighter
64.38,100,96.48,154.99,Lighter
64.96,100,95.7,153.66,Lighter
64.28,100,96.78,155.74,Lighter
64.92,100,96.09,400,Lighter
84.71,100,95.51,6.34,Lighter
70.85,100,95.31,153.62,Lighter
90.83,100,93.65,152.82,Lighter
92.12,100,94.43,154.87,Lighter
98.24,100,94.34,153.63,Lighter
87.29,100,93.85,154.46,Lighter
24.31,18.75,0,153.61,Infrared
26.38,21.58,70.51,153.16,Infrared
26.38,21.97,72.27,152.37,Infrared
